,initial angle,arc_length,incidence angle,distance from mirror
856,0.0008560856085608561,1.3439202015705152e-05,0.009677913573133709,6.510428872942069e-08
857,0.0008570857085708571,1.3454898065062363e-05,0.009689219069419715,6.525637119016712e-08
858,0.0008580858085808582,1.3470594101124764e-05,0.009700524564162713,6.540863097355044e-08
859,0.0008590859085908591,1.3486290122737404e-05,0.00971183005717714,6.556106806802618e-08
860,0.0008600860086008601,1.3501986130630223e-05,0.00972313554843035,6.571368248033728e-08
861,0.0008610861086108611,1.3517682124940202e-05,0.009734441038209009,6.586647421148384e-08
862,0.0008620862086208621,1.3533378105089412e-05,0.00974574652611578,6.601944325549699e-08
863,0.0008630863086308632,1.354907407075039e-05,0.009757052012224175,6.617258960883324e-08
864,0.0008640864086408641,1.3564770022705122e-05,0.009768357496742371,6.632591327877875e-08
865,0.0008650865086508651,1.3580465961733356e-05,0.009779662979867213,6.647941427262742e-08
866,0.0008660866086608661,1.3596161885402749e-05,0.009790968460859162,6.66330925662385e-08
867,0.0008670867086708671,1.3611857796402102e-05,0.009802273940617112,6.67869481856017e-08
868,0.0008680868086808682,1.3627553691897746e-05,0.00981357941815222,6.694098110258723e-08
869,0.0008690869086908691,1.3643249574685948e-05,0.009824884894464697,6.709519134429832e-08
870,0.0008700870087008701,1.3658945442795286e-05,0.00983619036890074,6.724957889102694e-08
871,0.0008710871087108711,1.367464129668188e-05,0.009847495841529143,6.740414374690443e-08
872,0.0008720872087208721,1.3690337136521589e-05,0.009858801312464933,6.755888591331638e-08
873,0.0008730873087308732,1.3706032963184202e-05,0.009870106781994526,6.771380539850805e-08
874,0.0008740874087408741,1.3721728775497873e-05,0.009881412249773085,6.78689021905745e-08
875,0.0008750875087508751,1.3737424572483296e-05,0.009892717715426626,6.802417627946994e-08
876,0.0008760876087608761,1.375312035651141e-05,0.009904023179826558,6.817962768830993e-08
877,0.0008770877087708771,1.3768816125512724e-05,0.009915328642115183,6.833525639624868e-08
878,0.0008780878087808782,1.378451188114551e-05,0.009926634103010257,6.849106241938563e-08
879,0.0008790879087908791,1.3800207622126685e-05,0.009937939562087394,6.864704574463873e-08
880,0.0008800880088008802,1.381590334905537e-05,0.00994924501941375,6.880320637761003e-08
881,0.0008810881088108811,1.3831599062166598e-05,0.009960550475233282,6.89595443202992e-08
882,0.0008820882088208821,1.384729476025274e-05,0.009971855929001388,6.911605956031932e-08
